uniprotAC,superkingdom,phylum,class,order,family,genus,species,deepfri prediction1,deepfri prediction2
K2RDH2,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium formicicum,RNA binding,
A0A1J5GR39,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,,,Oscillatoriales cyanobacterium CG2_30_44_21,DNA binding,transcription regulator activity
A0A419FPD6,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,,Nitrospiraceae bacterium,DNA binding,RNA binding
A0A5E4KXX5,Archaea,,,,,,Uncultured archaeon,structural molecule activity,DNA binding
A0A3A4QVM7,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,,Anaerolineaceae bacterium,DNA binding,transcription regulator activity
A0A1F3SVH8,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,,,Bdellovibrionales bacterium RBG_16_40_8,lyase activity,hydro-lyase activity
A0A0P0N3D8,Archaea,Thermoproteota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrodictium,Pyrodictium delaneyi,acting on ester bonds,nuclease activity
A0A510PRB4,Bacteria,Cyanobacteriota,Cyanophyceae,Chroococcales,Microcystaceae,Microcystis,Microcystis aeruginosa,DNA binding,
A0A661ZPF1,Bacteria,Bacteroidota,,,,,Bacteroidota bacterium,DNA binding,transcription regulator activity
A0A7G9YC00,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,,,Methanosarcinales archaeon ANME-2c ERB4,lyase activity,carbon-oxygen lyase activity
A0A661SNX4,Bacteria,,Deltaproteobacteria,,,,Deltaproteobacteria bacterium,acting on ester bonds,nuclease activity
A0A086YJB6,Bacteria,Bacillota,Clostridia,Eubacteriales,Peptococcaceae,,Peptococcaceae bacterium SCADC1_2_3,acting on ester bonds,nuclease activity
A0A1G1HGB1,Bacteria,Nitrospirota,,,,,Nitrospirae bacterium RIFCSPLOWO2_02_42_7,RNA binding,acting on ester bonds
A0A2A6RLV3,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Oscillochloridaceae,Candidatus Viridilinea,Candidatus Viridilinea mediisalina,transporter activity,DNA binding
A0A5E4IT27,Archaea,,,,,,Uncultured archaeon,acting on ester bonds,nuclease activity
A0A3M1XZE9,Bacteria,Nitrospirota,,,,,Nitrospirota bacterium,acting on RNA,DNA binding
A0A1G1GRM8,Bacteria,Nitrospirota,,,,,Nitrospirae bacterium RBG_13_41_22,lyase activity,
A0A1G3BTE2,Bacteria,Planctomycetota,,,,,Planctomycetes bacterium RIFCSPLOWO2_12_38_17,lyase activity,
A0A2H0XXK5,Bacteria,,,,,,Candidatus Saganbacteria bacterium CG08_land_8_20_14_0_20_45_16,lyase activity,
A0A1W9V1C0,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,,Anaerolineaceae bacterium 4572_5.1,lyase activity,
A0A2T1DAD1,Bacteria,Cyanobacteriota,,,,,filamentous cyanobacterium CCP2,DNA binding,
D8FZD1,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Kamptonema,Kamptonema sp. PCC 6506,transcription coregulator activity,molecular function regulator
A0A1Y2ZW04,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Crenotrichaceae,Crenothrix,Crenothrix sp. D3,DNA binding,transcription regulator activity
I4HDS9,Bacteria,Cyanobacteriota,Cyanophyceae,Chroococcales,Microcystaceae,Microcystis,Microcystis aeruginosa,DNA binding,transcription regulator activity
A0A3L7WZR8,Bacteria,Chloroflexota,,,,,Chloroflexota bacterium,acting on ester bonds,nuclease activity
K9YX54,Bacteria,Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Dactylococcopsis,Dactylococcopsis salina,RNA binding,nuclease activity
A0A1J4SCK3,Bacteria,Candidatus Desantisbacteria,,,,,Candidatus Desantisbacteria bacterium CG1_02_38_46,DNA binding,transcription regulator activity
A0A1G3C9F9,Bacteria,Planctomycetota,,,,,Planctomycetes bacterium RIFCSPLOWO2_12_FULL_40_19,acting on ester bonds,nuclease activity
S0G1Y9,Bacteria,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulfotignum,Desulfotignum phosphitoxidans,acting on a protein,
A0A1W9UZK7,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,,Anaerolineaceae bacterium 4572_5.2,nuclease activity,acting on ester bonds
A0A1F9EKW2,Bacteria,,Deltaproteobacteria,,,,Deltaproteobacteria bacterium RBG_19FT_COMBO_46_12,RNA binding,transition metal ion binding
A0A1F8QXH8,Bacteria,Chloroflexota,,,,,Chloroflexi bacterium RBG_16_57_9,acting on ester bonds,nuclease activity
A0A0B0EFN7,Bacteria,Planctomycetota,Candidatus Brocadiia,Candidatus Brocadiales,Candidatus Scalinduaceae,Candidatus Scalindua,Candidatus Scalindua brodae,transition metal ion binding,zinc ion binding
A0A3M1WRC5,Bacteria,Acidobacteriota,,,,,Acidobacteriota bacterium,ATP binding,adenyl nucleotide binding
A0A0S6VWH3,Bacteria,,,,,Candidatus Moduliflexus,Candidatus Moduliflexus flocculans,lyase activity,
A0A662VR66,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,,,Archaeoglobales archaeon,RNA binding,
A0A661SRL5,Bacteria,,Deltaproteobacteria,,,,Deltaproteobacteria bacterium,acting on ester bonds,
A0A1G1D9E0,Bacteria,Nitrospinota,,,,,Nitrospinae bacterium RIFCSPLOWO2_01_FULL_39_10,DNA binding,
A0A6A0HWF5,Bacteria,,,,,,candidate division KSB1 bacterium,acting on ester bonds,nuclease activity
A0A0F2J4B2,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Candidatus Magnetoovum,Candidatus Magnetoovum chiemensis,nuclease activity,endonuclease activity
A0A522WZ93,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylobacter,Methylobacter sp,acting on ester bonds,nuclease activity
A0A6P1ZU30,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Nodularia,Nodularia sp. (in: cyanobacteria),acting on ester bonds,transition metal ion binding
A0A496ZYP8,Bacteria,Chloroflexota,,,,,Chloroflexota bacterium,acting on ester bonds,nuclease activity
A0A661L2E9,Bacteria,,Deltaproteobacteria,,,,Deltaproteobacteria bacterium,DNA binding,transcription regulator activity
A0A497B8N5,Bacteria,Chloroflexota,,,,,Chloroflexota bacterium,DNA binding,transcription regulator activity
G4SXQ8,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylotuvimicrobium,Methylotuvimicrobium alcaliphilum,acting on ester bonds,
A0A7G9YE84,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,,,Methanosarcinales archaeon ANME-2c ERB4,RNA binding,
A0A1G2ZCK4,Bacteria,Planctomycetota,,,,,Planctomycetes bacterium RBG_16_41_13,lyase activity,DNA binding
A0A1G0MI60,Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Geobacterales,Geobacteraceae,,Geobacteraceae bacterium GWC2_58_44,nuclease activity,acting on RNA
A0A1F9KM69,Bacteria,,Deltaproteobacteria,,,,Deltaproteobacteria bacterium RIFCSPLOWO2_12_FULL_60_19,DNA binding,
A0A2H6F2M7,Bacteria,,,,,,bacterium BMS3Abin06,acting on ester bonds,
A0A0T7BLY6,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Calotrichaceae,Calothrix,Calothrix sp. 336/3,acting on ester bonds,nuclease activity
A0A419FRZ1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,,Nitrospiraceae bacterium,acting on ester bonds,acting on a protein
A0A1W9MLK8,Bacteria,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,,Desulfobacteraceae bacterium IS3,nuclease activity,acting on ester bonds
A0A661ZZE0,Bacteria,Bacteroidota,,,,,Bacteroidota bacterium,DNA binding,
A0A5E4L3J8,Archaea,,,,,,Uncultured archaeon,acting on ester bonds,
A0A2T2WC51,Bacteria,Cyanobacteriota,,,,,filamentous cyanobacterium CCP3,acting on ester bonds,nuclease activity
A0A533QJ03,Bacteria,Planctomycetota,Candidatus Brocadiia,Candidatus Brocadiales,Candidatus Brocadiaceae,Candidatus Jettenia,Candidatus Jettenia ecosi,DNA binding,transcription regulator activity
A0A2M7CPR8,Bacteria,Chloroflexota,Anaerolineae,,,,Anaerolineae bacterium CG03_land_8_20_14_0_80_58_20,DNA binding,transcription regulator activity
A0A1W9RB00,Bacteria,Bacteroidota,,,,,Bacteroidetes bacterium 4484_249,DNA binding,RNA binding
A0A1G3C9S1,Bacteria,Planctomycetota,,,,,Planctomycetes bacterium RIFCSPLOWO2_12_FULL_40_19,DNA binding,RNA binding
A0A2M6YUL1,Bacteria,Candidatus Roizmanbacteria,,,,,Candidatus Roizmanbacteria bacterium CG07_land_8_20_14_0_80_34_15,DNA binding,
A0A6A0HR04,Bacteria,,,,,,candidate division KSB1 bacterium,lyase activity,
A0A2M7AM20,Bacteria,Armatimonadota,,,,,Armatimonadetes bacterium CG07_land_8_20_14_0_80_40_9,DNA binding,transcription regulator activity
A0A661SEF8,Bacteria,,Deltaproteobacteria,,,,Deltaproteobacteria bacterium,DNA binding,
A0A1Q9NFK0,Archaea,Candidatus Heimdallarchaeota,,,,,Heimdallarchaeota archaeon (strain LC_2),RNA binding,
A0A1W9UY89,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,,Anaerolineaceae bacterium 4572_5.2,RNA binding,acting on ester bonds
A0A419JHV7,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,,,ANME-2 cluster archaeon,acting on ester bonds,nuclease activity
A0A2M7R3R9,Bacteria,Nitrospirota,,,,,Nitrospirae bacterium CG_4_10_14_0_8_um_filter_41_23,transcription regulator activity,DNA binding
A0A661VIG2,Bacteria,Chloroflexota,,,,,Chloroflexota bacterium,acting on ester bonds,nuclease activity
A0A1G1D1B9,Bacteria,Nitrospinota,,,,,Nitrospinae bacterium RIFCSPLOWO2_01_FULL_39_10,DNA binding,
A0A1J4ZXZ0,Bacteria,Chloroflexota,Anaerolineae,,,,Anaerolineae bacterium CG2_30_64_16,lyase activity,DNA binding
A0A1E3X3F5,Bacteria,Planctomycetota,Candidatus Brocadiia,Candidatus Brocadiales,Candidatus Scalinduaceae,Candidatus Scalindua,Candidatus Scalindua rubra,transferring acyl groups,transferring acyl groups other than amino-acyl groups
A0A086YSS8,Bacteria,Bacillota,Clostridia,Eubacteriales,Peptococcaceae,,Peptococcaceae bacterium SCADC1_2_3,DNA binding,
A0A1L9QQB5,Bacteria,Cyanobacteriota,Cyanophyceae,Desertifilales,Desertifilaceae,Roseofilum,Roseofilum reptotaenium,acting on a protein,ubiquitin-like protein transferase activity
A0A661SVG3,Bacteria,,Deltaproteobacteria,,,,Deltaproteobacteria bacterium,RNA binding,acting on RNA
A3IIF2,Bacteria,Cyanobacteriota,Cyanophyceae,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera chwakensis,acting on ester bonds,
A0A1W9R8Y9,Bacteria,Bacteroidota,,,,,Bacteroidetes bacterium 4484_249,transition metal ion binding,zinc ion binding
A0A3M1P0U3,Bacteria,Calditrichota,,,,,Calditrichota bacterium,DNA binding,RNA binding
A0A662BBI8,Bacteria,Bacteroidota,,,,,Bacteroidota bacterium,acting on ester bonds,nuclease activity
A0A1W9XF52,Bacteria,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,,Desulfobacteraceae bacterium 4572_88,structural molecule activity,structural constituent of ribosome
A0A2W7BVA8,Bacteria,Cyanobacteriota,Cyanophyceae,Synechococcales,Coelosphaeriaceae,Snowella,Snowella sp,acting on ester bonds,nuclease activity
A0A2M7F617,Bacteria,Nitrospirota,,,,,Nitrospirae bacterium CG17_big_fil_post_rev_8_21_14_2_50_50_9,DNA binding,transcription regulator activity
A0A3R7AQ40,Archaea,Euryarchaeota,Methanomicrobia,Methanophagales,,,Methanophagales archaeon,DNA binding,purine nucleotide binding
A0A811T5Q1,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,,Candidatus Argoarchaeum,Candidatus Argoarchaeum ethanivorans,lyase activity,hydro-lyase activity
A0A0B0EIV8,Bacteria,Planctomycetota,Candidatus Brocadiia,Candidatus Brocadiales,Candidatus Scalinduaceae,Candidatus Scalindua,Candidatus Scalindua brodae,DNA binding,RNA binding
I4IF14,Bacteria,Cyanobacteriota,Cyanophyceae,Chroococcales,Microcystaceae,Microcystis,Microcystis sp. T1-4,DNA binding,
A0A2H0A9D2,Bacteria,Candidatus Desantisbacteria,,,,,Candidatus Desantisbacteria bacterium CG23_combo_of_CG06-09_8_20_14_all_40_23,lyase activity,carbon-oxygen lyase activity
A0A661SQ44,Bacteria,,Deltaproteobacteria,,,,Deltaproteobacteria bacterium,acting on ester bonds,nuclease activity
A0A068N0K5,Bacteria,Cyanobacteriota,Cyanophyceae,Synechococcales,Merismopediaceae,Synechocystis,Synechocystis sp. (strain PCC 6714) (Aphanocapsa sp. (strain PCC 6714)),DNA binding,nuclease activity
A0A2M6ZUA5,Bacteria,Chloroflexota,,,,,Chloroflexi bacterium CG07_land_8_20_14_0_80_45_17,nuclease activity,acting on ester bonds
A0A661S1P9,Bacteria,,Deltaproteobacteria,,,,Deltaproteobacteria bacterium,acting on ester bonds,nuclease activity
A0A3L7X7H6,Bacteria,Chloroflexota,,,,,Chloroflexota bacterium,structural molecule activity,
A0A1J4RN92,Bacteria,Chloroflexota,Anaerolineae,,,,Anaerolineae bacterium CG1_02_58_13,heme binding,transition metal ion binding
I3ZVK6,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus cleftensis (strain DSM 27260 / KACC 17922 / CL1),acting on ester bonds,nuclease activity
K2RUH0,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium formicicum,lyase activity,hydro-lyase activity
A0A651F908,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,,,Desulfovibrionales bacterium,acting on ester bonds,DNA binding
A0A497JC74,Archaea,Candidatus Hydrothermarchaeota,,,,,Candidatus Hydrothermarchaeota archaeon,structural molecule activity,RNA binding
A0A2V3JMA0,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,,,ANME-2 cluster archaeon,transporter activity,transmembrane transporter activity
A0A1W9M537,Bacteria,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,,Desulfobacteraceae bacterium IS3,DNA binding,lyase activity
A0A3L7WNK9,Bacteria,Chloroflexota,,,,,Chloroflexota bacterium,nuclease activity,acting on ester bonds
A0A5C7QSK7,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix,Thiothrix sp,acting on ester bonds,
A0A497AZS8,Bacteria,Chloroflexota,,,,,Chloroflexota bacterium,acting on a protein,dioxygenase activity
A0A368THV5,Archaea,Euryarchaeota,Methanomicrobia,Methanophagales,,,Methanophagales archaeon,DNA binding,
A0A7G9YNS5,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,,,Methanosarcinales archaeon ANME-2c ERB4,structural constituent of ribosome,structural molecule activity
A0A1F7RR02,Bacteria,Candidatus Schekmanbacteria,,,,,Candidatus Schekmanbacteria bacterium RBG_16_38_11,carbohydrate derivative binding,ribonucleotide binding
A0A661RHI0,Bacteria,,Deltaproteobacteria,,,,Deltaproteobacteria bacterium,lyase activity,carbon-oxygen lyase activity
A0A2V3JIG3,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,,,ANME-2 cluster archaeon,DNA binding,
A0A497ATR2,Bacteria,Chloroflexota,,,,,Chloroflexota bacterium,nuclease activity,acting on ester bonds
A0A1F6CUE7,Bacteria,Candidatus Handelsmanbacteria,,,,,Handelsmanbacteria sp. (strain RIFCSPLOWO2_12_FULL_64_10),DNA binding,
A0A1F9CZL6,Bacteria,,Deltaproteobacteria,,,,Deltaproteobacteria bacterium RBG_16_48_10,nuclease activity,acting on ester bonds
A0A6N7ARN5,Bacteria,Nitrospirota,,,,,Nitrospirota bacterium,DNA binding,RNA binding
A0A2H6F4S9,Bacteria,,,,,,bacterium BMS3Abin06,nickel cation binding,DNA binding
A0A081BXK4,Bacteria,,,,,Candidatus Vecturithrix,Vecturithrix granuli,DNA binding,transcription regulator activity
A0A0E3PR22,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina siciliae,lyase activity,carbon-oxygen lyase activity
A0A662RIK3,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,,,Methanosarcinales archaeon,lyase activity,carbon-oxygen lyase activity
A0A0S1XEY1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus barophilus,acting on ester bonds,nuclease activity
A0A1D9FZN8,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Moorena,Moorena producens,DNA binding,
A0A1J5JKD8,Bacteria,Bacillota,Clostridia,Moorellales,Moorellaceae,Moorella,Moorella thermoacetica (Clostridium thermoaceticum),DNA binding,transcription regulator activity
A0A662J7C2,Archaea,Thermoproteota,Thermoprotei,,,,Thermoprotei archaeon,lyase activity,DNA binding
A0A6N7ATH8,Bacteria,Nitrospirota,,,,,Nitrospirota bacterium,DNA binding,
A0A1W9ST75,Bacteria,Bacteroidota,,,,,Bacteroidetes bacterium 4572_128,DNA binding,acting on a protein
A0A1E7J7I3,Bacteria,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,,,Desulfobacterales bacterium S5133MH4,DNA binding,transcription regulator activity
A0A1G1FHA6,Bacteria,Nitrospirota,,,,,Nitrospirae bacterium GWC2_42_7,DNA binding,transcription regulator activity
A0A1E7IXF6,Bacteria,Thermodesulfobacteriota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,,Desulfobulbaceae bacterium C00003063,acting on ester bonds,nuclease activity
A0A2I0N3V6,Archaea,Candidatus Thermoplasmatota,Thermoplasmata,,,,Thermoplasmata archaeon HGW-Thermoplasmata-2,acting on ester bonds,nuclease activity
A0A6P2AXP7,Bacteria,Cyanobacteriota,Cyanophyceae,Spirulinales,Spirulinaceae,Spirulina,Spirulina sp. DLM2.Bin59,acting on ester bonds,nuclease activity
F4C0I5,Archaea,Euryarchaeota,Methanomicrobia,Methanotrichales,Methanotrichaceae,Methanothrix,Methanothrix soehngenii,acting on ester bonds,nuclease activity
A0A0S6VPY2,Bacteria,,,,,Candidatus Moduliflexus,Candidatus Moduliflexus flocculans,lyase activity,magnesium ion binding
A0A520K453,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,,,Methanosarcinales archaeon,structural molecule activity,
A0A1V1P7S1,Bacteria,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Candidatus Magnetoglobus,Candidatus Magnetoglobus multicellularis,acting on glycosyl bonds,DNA binding
A0A1J5NQZ5,Bacteria,Bacillota,Clostridia,Moorellales,Moorellaceae,Moorella,Moorella thermoacetica (Clostridium thermoaceticum),transcription regulator activity,DNA binding
Q5JFZ2,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus kodakarensis,acting on ester bonds,
A0A445MUS5,Bacteria,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfobacteriaceae,Desulfobacterium,uncultured Desulfobacterium sp,RNA binding,
A0A3L7X2S9,Bacteria,Chloroflexota,,,,,Chloroflexota bacterium,DNA binding,lyase activity
A0A1G1J0J3,Bacteria,Nitrospirota,,,,,Nitrospirae bacterium RIFCSPHIGHO2_02_FULL_40_19,nuclease activity,acting on ester bonds
A0A661ZFJ8,Bacteria,Bacteroidota,,,,,Bacteroidota bacterium,ubiquitin-like protein transferase activity,acting on a protein
A0A522UME4,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Candidatus Methanoperedenaceae,Candidatus Methanoperedens,Candidatus Methanoperedens sp,transition metal ion binding,zinc ion binding
A0A1E7H9W4,Bacteria,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,,,Desulfobacterales bacterium C00003106,lyase activity,carbon-oxygen lyase activity
A0A524AC69,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,,,Anaerolineales bacterium,acting on ester bonds,
A0A1Y1Q1D7,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,,Thiotrichaceae bacterium IS1,acting on a protein,
A0A5E4KK87,Archaea,,,,,,Uncultured archaeon,acting on RNA,transferring phosphorus-containing groups
A0A0K2M0L0,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,Anabaena sp. WA102,nuclease activity,acting on ester bonds
A0A1G1DFJ2,Bacteria,Nitrospinota,,,,,Nitrospinae bacterium RIFCSPLOWO2_01_FULL_39_10,structural molecule activity,
A0A117ITL9,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus celericrescens,acting on ester bonds,nuclease activity
A0A1Z4QQJ0,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Nostocaceae,Cylindrospermum,Cylindrospermum sp. NIES-4074,acting on ester bonds,nuclease activity
A0A532TDH4,Archaea,Candidatus Lokiarchaeota,,,,,Candidatus Lokiarchaeota archaeon Loki_b32,structural molecule activity,structural constituent of ribosome
A0A5E4K9Z3,Archaea,,,,,,Uncultured archaeon,acting on ester bonds,nuclease activity
A0A2G9XL64,Bacteria,Thermodesulfobacteriota,Syntrophobacteria,Syntrophobacterales,,,Syntrophobacterales bacterium CG23_combo_of_CG06-09_8_20_14_all_48_27,carbohydrate derivative binding,DNA binding
A0A522V5Z9,Bacteria,Nitrospirota,,,,,Nitrospirota bacterium,transcription regulator activity,acting on ester bonds
A0A1G2ZHY7,Bacteria,Planctomycetota,,,,,Planctomycetes bacterium RBG_16_41_13,transition metal ion binding,
D8F818,Bacteria,,Deltaproteobacteria,,,,delta proteobacterium NaphS2,RNA binding,
A0A062V5K3,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Candidatus Methanoperedenaceae,Candidatus Methanoperedens,Candidatus Methanoperedens nitroreducens,molecular function regulator,
A0A1G1DYA5,Bacteria,Nitrospinota,,,,,Nitrospinae bacterium RIFCSPLOWO2_12_39_16,acting on ester bonds,nuclease activity
A0A1Y1QM25,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix,Thiothrix lacustris,transition metal ion binding,DNA binding
A0A2N2PRA7,Bacteria,Chloroflexota,,,,,Chloroflexi bacterium HGW-Chloroflexi-1,structural molecule activity,structural constituent of ribosome
A0A318D6J4,Bacteria,,Deltaproteobacteria,,,,Deltaproteobacteria bacterium,DNA binding,transcription regulator activity
A0A1F8UB49,Bacteria,Chloroflexota,,,,,Chloroflexi bacterium RIFOXYD12_FULL_57_15,RNA binding,lyase activity
A0A419GJ55,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,,Nitrospiraceae bacterium,DNA binding,
A0A532EZG2,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,Nitrospira sp,DNA binding,
A0A496T9R9,Bacteria,,,,,,candidate division KSB1 bacterium,RNA binding,structural molecule activity
A0A2G9XIS1,Bacteria,Thermodesulfobacteriota,Syntrophobacteria,Syntrophobacterales,,,Syntrophobacterales bacterium CG23_combo_of_CG06-09_8_20_14_all_48_27,acting on ester bonds,nuclease activity
A0A419GX18,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,,Nitrospiraceae bacterium,DNA binding,RNA binding
A0A522VGK3,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,,Methylococcaceae bacterium,lyase activity,carbon-oxygen lyase activity
K9V4G9,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Calotrichaceae,Calothrix,Calothrix sp. PCC 6303,nuclease activity,acting on ester bonds
A0A1G3V3Z1,Bacteria,Thermodesulfobacteriota,Syntrophia,Syntrophales,Syntrophaceae,Syntrophus,Syntrophus sp. GWC2_56_31,transferring phosphorus-containing groups,kinase activity
A0A661S8N7,Bacteria,,Deltaproteobacteria,,,,Deltaproteobacteria bacterium,structural molecule activity,acting on ester bonds
A0A497LEV4,Archaea,Candidatus Bathyarchaeota,,,,,Candidatus Bathyarchaeota archaeon,DNA binding,DNA-binding transcription factor activity
A0A520K500,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,,,Methanosarcinales archaeon,acting on ester bonds,nuclease activity
A0A1H6F9X2,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Candidatus Venteria,Candidatus Venteria ishoeyi,transferring phosphorus-containing groups,alcohol group as acceptor
I5B286,Bacteria,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacter,Desulfobacter postgatei,acting on ester bonds,nuclease activity
A0A1J5ATF0,Bacteria,Chloroflexota,Anaerolineae,,,,Anaerolineae bacterium CG2_30_64_16,lyase activity,transferring acyl groups
A0A0P9GAC7,Archaea,Candidatus Bathyarchaeota,,,,,Candidatus Bathyarchaeota archaeon BA2,DNA binding,transcription regulator activity
A0A1E5QWN7,Bacteria,Cyanobacteriota,Cyanophyceae,Chroococcales,Geminocystaceae,Cyanobacterium,Cyanobacterium sp. IPPAS B-1200,acting on ester bonds,nuclease activity
A0A524A6X4,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,,,Anaerolineales bacterium,DNA binding,
A0A2M7NJ78,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Flexibacteraceae,Flexibacter,Flexibacter sp. CG_4_10_14_3_um_filter_32_15,acting on ester bonds,nuclease activity
A0A5C2HFW3,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,,Ectothiorhodospiraceae bacterium BW-2,structural molecule activity,structural constituent of ribosome
A0A1L9QUA2,Bacteria,Cyanobacteriota,Cyanophyceae,Desertifilales,Desertifilaceae,Roseofilum,Roseofilum reptotaenium,DNA binding,transcription regulator activity
A0A151B1W0,Bacteria,Bacillota,Clostridia,Moorellales,Moorellaceae,Moorella,Moorella mulderi,nuclease activity,acting on ester bonds
A0A520JWH3,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,,,Methanosarcinales archaeon,lyase activity,carbon-oxygen lyase activity
A0A1F3KMB7,Bacteria,Bacteroidota,,,,,Bacteroidetes bacterium GWF2_35_48,DNA binding,RNA binding
A0A1V4MMF7,Bacteria,,Deltaproteobacteria,,,,delta proteobacterium ML8_D,nuclease activity,acting on ester bonds
A0A661S6C7,Bacteria,,Deltaproteobacteria,,,,Deltaproteobacteria bacterium,DNA binding,transcription regulator activity
A0A2S8K4B4,Bacteria,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,,Desulfobacteraceae bacterium SEEP-SAG9,RNA binding,acting on ester bonds
A0A2N2PSN8,Bacteria,Chloroflexota,,,,,Chloroflexi bacterium HGW-Chloroflexi-1,DNA binding,transcription regulator activity
A0A497AQ35,Bacteria,Chloroflexota,,,,,Chloroflexota bacterium,nuclease activity,acting on ester bonds
A0A1F9LZ93,Bacteria,,Deltaproteobacteria,,,,Deltaproteobacteria bacterium RIFOXYD12_FULL_57_12,DNA binding,
